TIME;'2000';'2001';'2002';'2003';'2004';'2005';'2006';'2007';'2008';'2009';'2010';'2011';'2012';'2013';'2014';'2015';'2016';'2017';'2018';'2019';'2020';'2021';'2022';'2023';'2024'
European Union - 27 countries (from 2020);NaN;NaN;NaN;NaN;NaN;NaN;5,1;4,1;-2,7;-3,0;-1,6;-1,4;-2,2;-2,4;-0,8;0,1;1,7;1,5;1,8;1,4;4,2;2,6;1,0;-6,6;-1,7
Euro area – 21 countries (from 2026);NaN;NaN;NaN;NaN;NaN;NaN;3,0;1,2;-1,5;-3,3;-0,3;-0,4;-1,8;-2,5;-1,2;-0,5;1,7;1,6;1,8;1,3;4,3;2,6;0,7;-6,9;-2,2
Euro area – 20 countries (2023-2025);NaN;NaN;NaN;NaN;NaN;NaN;3,0;1,0;-1,7;-3,1;-0,2;-0,4;-1,8;-2,5;-1,2;-0,5;1,7;1,6;1,8;1,3;4,3;2,6;0,7;-7,1;-2,4
Belgium;NaN;0,4;4,5;4,9;6,1;9,5;5,0;3,2;-0,8;-1,4;1,4;1,1;0,1;0,6;-1,4;1,1;-0,1;0,3;0,0;0,1;2,9;1,0;-2,9;-4,8;0,5
Bulgaria;NaN;-10,1;-20,8;4,7;35,1;22,9;0,8;15,0;1,8;-22,9;-11,8;-13,9;-3,7;-5,6;-0,8;-1,8;1,5;0,1;-5,2;-0,6;2,5;-2,9;-4,6;-4,8;-9,2
Czechia;NaN;1,8;6,2;5,1;-4,8;-2,1;0,5;13,0;4,6;-4,2;-4,3;-1,1;-2,5;-0,2;-1,4;0,9;3,1;3,7;0,9;2,1;2,0;9,1;7,1;-9,1;0,1
Denmark;NaN;0,3;-1,0;-0,1;5,2;13,9;18,8;1,3;-7,8;-15,3;-1,3;-3,9;-4,0;3,4;2,9;3,6;1,2;2,7;1,6;0,3;3,4;7,6;-1,9;-7,4;0,3
Germany;NaN;-3,9;-2,5;-2,3;-3,1;-1,0;-2,9;-4,6;-1,4;0,0;-1,5;0,3;1,3;1,2;0,3;2,1;4,6;2,7;2,7;2,6;6,0;6,9;-1,9;-12,5;-5,4
Estonia;NaN;NaN;NaN;NaN;NaN;NaN;24,9;3,1;-21,9;-31,9;6,5;0,3;2,9;1,1;9,0;-0,3;-0,1;-1,8;-5,7;0,6;3,8;5,7;8,7;-1,0;-1,0
Ireland;NaN;1,3;-2,4;7,4;5,0;2,0;9,4;2,0;-10,4;-13,0;-9,5;-16,3;-14,5;2,1;15,5;7,0;3,7;5,5;6,7;-3,2;-3,9;3,4;6,1;-6,0;1,6
Greece;NaN;8,0;4,8;-4,0;-4,2;7,9;4,3;-0,6;-5,5;-5,0;5,5;3,9;-0,1;-4,4;-6,6;-6,4;-2,0;-1,9;1,6;-0,1;7,9;-2,4;5,3;4,9;4,7
Spain;NaN;2,6;10,3;11,2;11,7;5,8;10,4;5,8;-5,5;-6,4;-1,7;-7,6;-9,9;-8,9;-0,2;-0,7;2,1;3,2;4,0;0,9;3,7;-1,4;3,0;-3,9;2,3
France;NaN;3,4;4,4;9,1;11,3;11,9;7,0;2,0;-1,8;-6,5;2,2;4,0;-1,4;-1,5;-2,6;-2,1;-0,3;0,9;0,9;0,7;4,0;1,2;1,6;-6,9;-7,7
Croatia;NaN;-9,0;4,1;-3,9;2,7;4,6;11,7;2,6;-1,9;-4,0;-8,2;-1,2;-0,7;-4,2;-2,8;-2,2;-4,5;0,0;-0,6;2,8;5,0;-5,0;2,9;-0,6;-1,4
Italy;NaN;0,8;7,5;2,9;2,9;4,4;2,4;2,2;1,5;1,7;1,7;-0,2;0,5;-6,5;-5,4;-5,0;-1,2;-3,3;-2,2;-1,0;3,0;-2,9;-2,5;-3,7;0,1
Cyprus;NaN;-3,9;4,0;3,2;0,3;0,5;5,4;6,5;-4,1;-5,7;-5,7;-1,6;0,7;-0,2;6,3;-1,4;-4,2;-0,4;-6,4;-1,0;3,4;-6,3;1,3;3,2;0,4
Latvia;NaN;-7,3;29,1;7,5;-14,1;36,7;-8,0;10,5;-15,9;-26,0;-7,0;7,8;-4,4;2,2;0,4;-9,3;2,2;1,0;0,9;2,1;0,9;0,7;3,7;-2,1;-3,8
Lithuania;NaN;7,3;-1,4;1,0;-3,2;-4,7;25,7;12,6;-11,3;-24,9;-8,1;0,0;-3,6;-4,8;3,0;-1,4;-2,9;5,9;-1,3;-3,1;-2,2;4,4;5,8;1,2;2,3
Luxembourg;NaN;8,0;1,0;8,6;11,0;20,3;2,1;-1,6;-0,6;-3,5;2,9;0,9;1,1;1,1;3,2;5,5;6,1;1,0;3,9;6,0;7,4;12,3;4,5;-14,0;-9,3
Hungary;NaN;3,6;2,0;6,4;-3,3;-5,0;-1,0;5,2;-1,6;-5,2;-5,2;-9,2;-5,8;-5,8;-0,9;7,6;7,1;2,2;2,9;5,6;0,7;1,7;2,9;-8,9;2,0
Malta;NaN;8,3;8,9;11,4;14,4;3,8;12,8;13,2;8,8;-5,8;-4,0;-5,9;-0,6;-5,4;-0,2;-0,8;0,2;-0,6;-0,4;0,2;-0,8;-4,2;0,9;-2,2;-4,4
Netherlands;NaN;0,7;2,0;0,6;2,3;3,3;-2,2;0,6;-1,2;-5,7;-3,2;-3,2;-6,8;-6,0;-1,1;1,8;2,9;5,7;4,4;2,3;4,5;7,7;6,0;-8,7;2,3
Austria;NaN;-0,2;-0,9;-3,0;-4,3;8,7;-0,6;-0,6;-1,9;-0,1;0,7;4,0;2,5;5,6;1,9;4,1;3,9;2,9;2,7;3,9;6,9;5,6;3,2;-8,4;-7,0
Poland;NaN;NaN;NaN;NaN;NaN;NaN;28,7;38,8;-8,5;-10,0;-9,7;-4,5;-7,5;-5,9;-4,4;-1,5;-2,6;-1,3;0,5;1,3;0,4;4,0;-0,2;-4,4;3,0
Portugal;NaN;0,5;-3,7;-1,4;-2,8;1,5;-0,6;-2,7;-2,8;-2,0;-0,2;-1,9;-3,9;-1,8;4,0;-0,8;3,5;6,1;5,3;5,2;9,3;3,2;4,3;0,7;0,0
Romania;NaN;NaN;NaN;33,7;7,6;20,7;8,2;51,5;-10,6;-26,4;-14,6;-17,2;-9,0;-1,3;-4,9;-4,3;-4,2;-8,0;-2,7;-12,9;0,5;-4,2;-6,2;-9,7;-8,3
Slovenia;NaN;-4,8;-6,4;1,7;2,9;8,3;11,2;13,8;-1,2;-8,8;-1,3;0,8;-4,6;-4,5;-7,2;-1,1;-1,0;3,4;2,7;1,0;-0,2;3,3;5,6;-0,6;1,6
Slovakia;NaN;NaN;NaN;31,5;2,8;-15,1;5,8;14,6;5,6;-14,1;-6,7;-2,5;-5,3;-0,2;-0,9;0,2;3,9;1,3;-1,3;3,6;5,2;-0,5;3,4;-8,3;-3,5
Finland;NaN;-5,5;1,6;1,5;3,0;5,2;3,1;0,5;-4,7;-1,0;2,5;-0,8;-0,4;-0,5;-1,1;-1,8;0,1;-0,6;-2,3;-3,0;0,5;0,9;-3,0;-12,5;-4,8
Sweden;NaN;0,8;0,3;3,3;7,5;6,1;6,8;6,1;-3,7;0,4;4,7;-1,1;-2,1;3,3;6,7;9,8;4,1;4,1;-3,8;-0,4;3,7;4,1;-2,2;-10,2;-3,1
