Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Jednostka miary;"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"biblioteki i filie";"";"ob.";;;;;;;;;;;;;16;;17;;16;17;16;15;15;15;14;13;13;13;12;12;12;12;
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"powierzchnia pomieszczeń bibliotecznych";"";"m2";;;;;;;;;;;;;5896;;7834;;6486;6666;6234;6173;6174;6134;6119;5939;5919;5919;5865;5741;5746;5746;
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"pracownicy (w działalności podstawowej)";"";"osoba";;;;;;;;;;;;;99;;107;;97;88;82;79;83;80;64;62;48;55;51;50;49;49;
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"księgozbiór";"";"wol.";;;;;;;;;;;;;504254;;539179;;536876;551905;549573;500678;527715;516893;517119;507495;508784;511817;503775;494689;496541;501116;
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"zbiory specjalne";"";"szt.";;;;;;;;;;;;;137024;;118058;;148101;149424;150166;145484;61887;149084;64960;66263;66191;67961;68692;59758;60365;60774;
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"czytelnicy (użytkownicy aktywnie wypożyczający) w ciągu roku";"";"osoba";;;;;;;;;;;;;36016;;17800;;12451;10071;8152;7732;5753;5268;5922;4473;4064;3066;2864;3162;3218;3058;
"KULTURA ";"BIBLIOTEKI";"Biblioteki inne niż publiczne (Wymiary: Wyszczególnienie)";"czytelnicy indywidualni zarejestrowani w ciągu roku";"";"osoba";;;;;;;;;;;;;35882;;17718;;;;;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"biblioteki i filie";"";"ob.";15;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;14;12;12;12;12;12;12;12;12;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"pracownicy bibliotek (działalności podstawowej)";"";"osoba";56;77;76;52;51;50;50;50;50;50;49;51;52;54;56;79;80;79;81;80;83;81;83;80;66;63;62;65;63;64;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"księgozbiór";"";"wol.";441099;412167;417399;408306;402447;402887;383522;394872;398798;401799;405253;407749;377987;375014;373020;375007;361442;350637;346622;351215;356278;349295;346907;337682;341612;338035;337429;332922;329259;327463;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"zbiory elektroniczne  zinwentaryzowane";"";"szt.";;;;;;;;;;;;;;;;;66;67;121;121;121;121;121;123;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"odsetek zbiorów elektronicznych";"";"%";;;;;;;;;;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"czytelnicy w ciągu roku";"";"osoba";23425;24289;25372;26156;26697;26953;27138;27095;27424;27309;27068;25906;24533;23350;24659;24529;25130;25434;29443;28661;27206;25101;24313;24736;23539;19575;19528;19369;21338;21185;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"wypożyczenia księgozbioru na zewnątrz";"";"wol.";365869;371505;354256;364715;364863;367520;364650;362279;384467;388285;391519;371479;364583;351485;354083;363635;370736;376542;439666;430103;414287;395134;386062;393186;402627;301171;355084;368414;386173;396144;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"punkty biblioteczne ogółem";"";"ob.";0;0;0;0;1;3;4;4;4;5;5;5;5;4;3;2;2;2;2;3;3;3;3;3;2;2;1;1;0;0;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"obiekty przystosowane dla osób poruszających się na wózkach inwalidzkich";"";"ob.";;;;;2;2;2;3;3;3;4;4;4;4;4;;;;;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"obiekty przystosowane dla osób niepełnosprawnych poruszających się na wózkach inwalidzkich: wejście do budynku";"";"ob.";;;;;;;;;;;;;;;;5;6;9;9;9;9;10;9;9;9;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"obiekty przystosowane dla osób niepełnosprawnych poruszających się na wózkach inwalidzkich: udogodnienia wewnątrz budynku";"";"ob.";;;;;;;;;;;;;;;;1;2;4;4;4;4;5;5;5;5;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"zbiory specjalne";"";"szt.";;;;;;;;;;;;;;;;;;;;;;;;;21071;21276;8744;6374;6329;6621;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"odsetek zbiorów specjalnych";"";"%";;;;;;;;;;;;;;;;;;;;;;;;;6,2;6,3;2,6;1,9;1,9;2,0;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"obiekty przystosowane do potrzeb osób niepełnosprawnych";"";"ob.";;;;;;;;;;;;;;;;;;;;;;;;;;9;9;8;8;9;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"obiekty przystosowane do potrzeb osób niepełnosprawnych: wejście do budynku";"";"ob.";;;;;;;;;;;;;;;;;;;;;;;;;;9;9;8;8;9;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne (Wymiary: Biblioteki)";"obiekty przystosowane do potrzeb osób niepełnosprawnych: udogodnienia wewnątrz budynku";"";"ob.";;;;;;;;;;;;;;;;;;;;;;;;;;6;5;5;5;6;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne - wskaźniki (Wymiary: Wskaźniki)";"biblioteki publiczne na 10 tys. ludności";"";"ob.";;;;;;;;;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne - wskaźniki (Wymiary: Wskaźniki)";"ludność na 1 placówkę biblioteczną (łącznie z punktami bibliotecznymi ujętymi zgodnie z siedzibą jednostki macierzystej)";"";"osoba";;;;;;;;12057;12015;11381;11351;11291;11243;11801;12411;13039;12977;12924;12851;12067;12009;12648;14304;14202;15098;14447;15377;15219;16334;16148;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne - wskaźniki (Wymiary: Wskaźniki)";"księgozbiór bibliotek na 1000 ludności";"";"wol.";;;;;;;;1723,7;1746,9;1765,3;1785,1;1805,7;1681,0;1672,5;1669,8;1691,8;1638,4;1596,0;1586,6;1617,0;1648,2;1624,5;1616,8;1585,1;1616,2;1671,3;1688,0;1682,7;1679,9;1689,9;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne - wskaźniki (Wymiary: Wskaźniki)";"czytelnicy bibliotek publicznych na 1000 ludności";"";"osoba";;;;;;;;118;120;120;119;114;109;104;110;110;114;116;134;132;126;116;113;116;111;96;97;97;108;109;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne - wskaźniki (Wymiary: Wskaźniki)";"wypożyczenia księgozbioru na 1 czytelnika w woluminach";"";"wol.";;;;;;;;13,4;14,0;14,2;14,5;14,3;14,9;15,1;14,4;14,8;14,8;14,8;14,9;15,0;15,2;15,7;15,9;15,9;17,1;15,4;18,2;19,0;18,1;18,7;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"biblioteki i filie";"ob.";;;;;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;14;12;12;12;12;12;12;12;12;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"pracownicy bibliotek (działalności podstawowej)";"osoba";;;;;51;50;50;50;50;50;49;51;52;54;56;79;80;79;81;80;83;81;83;80;66;63;62;65;63;64;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"księgozbiór";"wol.";;;;;402447;402887;383522;394872;398798;401799;405253;407749;377987;375014;373020;375007;361442;350637;346622;351215;356278;349295;346907;337682;341612;338035;337429;332922;329259;327463;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"czytelnicy w ciągu roku";"osoba";;;;;26697;26953;27138;27095;27424;27309;27068;25906;24533;23350;24659;24529;25130;25434;29443;28661;27206;25101;24313;24736;23539;19575;19528;19369;21338;21185;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"wypożyczenia księgozbioru na zewnątrz";"wol.";;;;;364863;367520;364650;362279;384467;388285;391519;371479;364583;351485;354083;363635;370736;376542;439666;430103;414287;395134;386062;393186;402627;301171;355084;368414;386173;396144;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"wypożyczenia zbiorów audiowizualnych na zewnątrz";"szt.";;;;;;;;;;;;;;;;;;;;;;5504;9760;11881;13880;9677;11517;11956;11847;13185;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"punkty biblioteczne ogółem";"ob.";;;;;1;3;4;4;4;5;5;5;5;4;3;2;2;2;2;3;3;3;3;3;2;2;1;1;0;0;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"obiekty przystosowane dla osób poruszających się na wózkach inwalidzkich";"ob.";;;;;2;2;2;3;3;3;4;4;4;4;4;;;;;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"obiekty przystosowane dla osób niepełnosprawnych poruszających się na wózkach inwalidzkich: wejście do budynku";"ob.";;;;;;;;;;;;;;;;5;6;9;9;9;9;10;9;9;9;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"obiekty przystosowane dla osób niepełnosprawnych poruszających się na wózkach inwalidzkich: udogodnienia wewnątrz budynku";"ob.";;;;;;;;;;;;;;;;1;2;4;4;4;4;5;5;5;5;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"obiekty przystosowane do potrzeb osób niepełnosprawnych";"ob.";;;;;;;;;;;;;;;;;;;;;;;;;;9;9;8;8;9;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"obiekty przystosowane do potrzeb osób niepełnosprawnych: wejście do budynku";"ob.";;;;;;;;;;;;;;;;;;;;;;;;;;9;9;8;8;9;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"ogółem";"obiekty przystosowane do potrzeb osób niepełnosprawnych: udogodnienia wewnątrz budynku";"ob.";;;;;;;;;;;;;;;;;;;;;;;;;;6;5;5;5;6;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"biblioteki";"ob.";;;;;0;15;;;;;;;;;;;;;;;;;;;;;;;;;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"biblioteki i filie";"ob.";;;;;;;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;14;12;12;12;12;12;12;12;12;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"pracownicy bibliotek (działalności podstawowej)";"osoba";;;;;0;50;50;50;50;50;49;51;52;54;56;79;80;79;81;80;83;81;83;80;66;63;62;65;63;64;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"księgozbiór";"wol.";;;;;0;402887;383522;394872;398798;401799;405253;407749;377987;375014;373020;375007;361442;350637;346622;351215;356278;349295;346907;337682;341612;338035;337429;332922;329259;327463;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"czytelnicy w ciągu roku";"osoba";;;;;0;26953;27138;27095;27424;27309;27068;25906;24533;23350;24659;24529;25130;25434;29443;28661;27206;25101;24313;24736;23539;19575;19528;19369;21338;21185;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"wypożyczenia księgozbioru na zewnątrz";"wol.";;;;;0;367520;364650;362279;384467;388285;391519;371479;364583;351485;354083;363635;370736;376542;439666;430103;414287;395134;386062;393186;402627;301171;355084;368414;386173;396144;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"wypożyczenia zbiorów audiowizualnych na zewnątrz";"szt.";;;;;;;;;;;;;;;;;;;;;;5504;9760;11881;13880;9677;11517;11956;11847;13185;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"punkty biblioteczne ogółem";"ob.";;;;;0;3;4;4;4;5;5;5;5;4;3;2;2;2;2;3;3;3;3;3;2;2;1;1;0;0;
"KULTURA ";"BIBLIOTEKI";"Biblioteki publiczne wg organu prowadzącego (Wymiary: Organ prowadzący; Biblioteki)";"prowadzone przez gminę / miasto na prawach powiatu";"obiekty przystosowane dla osób poruszających się na wózkach inwalidzkich";"ob.";;;;;0;2;2;3;3;3;4;4;4;4;4;;;;;;;;;;;;;;;;
