date,avg_temperature,avg_airpressure,avg_precipitation
2003-03,10.2,1022.8,15
2003-05,14.7,1018.2,75
2003-06,21.1,1015.9,29
2003-07,21.3,1016.3,27
2003-08,24.1,1017.0,50
2003-09,16.3,1020.4,14
2003-10,9.6,1013.1,65
2003-11,8.4,1015.5,43
2003-12,4.9,1019.0,38
2004-01,4.8,1012.3,92
2004-02,5.4,1021.8,4
2004-03,7.0,1021.4,31
2004-04,10.9,1013.2,61
2004-05,13.7,1016.1,42
2004-06,18.2,1019.0,20
2004-07,19.1,1016.9,51
2004-08,20.0,1012.7,68
2004-09,17.4,1020.4,11
2004-10,12.3,1010.4,87
2004-11,7.8,1022.7,20
2004-12,3.3,1020.7,53
2005-01,5.2,1025.1,51
2005-02,3.1,1020.8,28
2005-03,7.5,1017.4,48
2005-04,11.4,1014.7,38
2005-05,14.6,1017.4,42
2005-06,19.5,1018.7,46
2005-07,20.2,1016.1,36
2005-08,18.8,1018.5,24
2005-09,17.6,1018.8,31
2005-10,15.2,1016.9,16
2005-11,6.2,1018.5,25
2005-12,3.8,1019.5,26
2006-01,2.9,1023.4,27
2006-02,3.2,1015.9,63
2006-03,5.9,1011.5,80
2006-04,10.6,1016.4,30
2006-05,14.7,1016.3,60
2006-06,19.1,1020.2,29
2006-07,24.2,1018.3,57
2006-08,17.2,1014.1,68
2006-09,18.7,1014.6,49
2006-10,14.5,1013.4,41
2006-11,8.9,1018.9,47
2006-12,5.2,1024.7,51
2007-01,7.4,1022.0,40
2007-02,7.9,1011.4,72
2007-03,7.7,1017.3,45
2007-04,15.1,1019.7,5
2007-05,15.2,1012.3,73
2007-06,18.1,1013.0,92
2007-07,18.1,1014.6,71
2007-08,17.6,1015.8,139
2007-09,14.8,1021.2,19
2007-10,11.2,1023.5,35
2007-11,6.6,1021.9,32
2007-12,3.9,1023.8,52
2008-01,6.2,1019.0,48
2008-02,6.3(+1.7),1025.5,36
2008-03,7.2(+0.4),1010.0,61
2008-04,9.7(-0.1),1011.4,50
2008-05,16.7(+3.2),1013.2,54
2008-06,17.9(+1.2),1017.5,20
2008-07,19.7(+0.8),1015.9,49
2008-08,18.9(+0.3),1014.2,82
2008-09,14.5(-1.5),1017.9,13
2008-10,10.7(-1.2),1018.0,60
2008-11,7.5(+0.7),1015.3,49
2008-12,3.1(-1.0),1019.3,29
2009-01,1.3(-2.0),1014.5,49
2009-02,3.9(-0.5),1016.0,37
2009-03,7.3(+0.5),1017.3,29
2009-04,12.4(+2.6),1013.6,44
2009-05,15.1(+1.6),1019.2,76
2009-06,17.6(+0.9),1016.9,57
2009-07,19.7(+0.8),1015.4,40
2009-08,21.1(+2.5),1017.5,24
2009-09,16.5(+0.5),1021.1,35
2009-10,11.9(+0.0),1018.3,39
2009-11,9.9(+3.1),1008.9,68
2009-12,3.9(-0.2),1008.4,63
2010-01,0.6(-2.7),1015.6,36
2010-02,3.7(-0.7),1004.9,51
2010-03,,,
2010-04,11.4(+1.6),1019.1,22
2010-05,13.0(-0.5),1015.9,37
2010-06,18.6(+1.9),1016.0,81
2010-07,21.4(+2.5),1017.2,89
2010-08,18.3(-0.3),1016.0,98
2010-09,15.2(-0.8),1016.2,60
2010-10,11.3(-0.6),1014.2,35
2010-11,6.8(+0.0),1007.7,84
2010-12,0.5(-3.6),1014.0,68
2011-01,4.5(+1.2),1020.3,51
2011-02,6.0(+1.6),1018.5,29
2011-03,8.9(+2.1),1021.4,14
2011-04,14.4(+4.6),1018.9,5
2011-05,16.4(+2.9),1019.1,4
2011-06,17.9(+1.2),1017.0,112
2011-07,17.5(-1.4),1014.2,73
2011-08,19.0(+0.4),1014.9,105
2011-09,17.5(+1.5),1017.3,35
2011-10,12.8(+0.9),1020.4,28
2011-11,9.1(+2.3),1019.2,30
2011-12,7.0(+2.9),1017.4,103
2012-01,6.1(+2.8),1024.3,31
2012-02,1.8(-2.6),1029.9,6
2012-03,10.2(+3.4),1027.5,16
2012-04,9.1(-0.7),1006.1,66
2012-05,15.5(+2.0),1016.2,104
2012-06,,,
2012-07,18.4(-0.5),1016.2,78
2012-08,20.4(+1.8),1016.5,6
2012-09,15.3(-0.7),1016.9,37
2012-10,12.3(+0.4),1012.0,93
2012-11,7.2(+0.4),1013.2,37
2012-12,6.0(+1.9),1013.3,87
2013-01,3.4(+0.1),1016.0,42
2013-02,2.5(-1.9),1017.0,43
2013-03,4.8(-2.0),1007.3,45
2013-04,10.2(+0.4),1015.3,28
2013-05,12.0(-1.5),1013.2,78
2013-06,16.8(+0.1),1018.8,98
2013-07,22.1(+3.2),1019.1,37
2013-08,19.7(+1.1),1018.4,30
2013-09,16.4(+0.4),1016.5,71
2013-10,13.7(+1.8),1015.2,52
2013-11,7.1(+0.3),1018.2,84
2013-12,5.4(+1.3),1021.1,54
2014-01,6.6(+3.3),1008.0,57
2014-02,7.0(+2.6),1006.4,62
2014-03,9.0(+2.2),1017.3,9
2014-04,12.3(+2.5),1015.3,48
2014-05,13.8(+0.3),1016.5,88
2014-06,17.8(+1.1),1018.2,64
2014-07,20.1(+1.2),1015.1,131
2014-08,17.2(-1.4),1014.4,84
2014-09,17.6(+1.6),1018.3,9
2014-10,14.0(+2.1),1016.4,46
2014-11,9.6(+2.8),1009.4,58
2014-12,5.1(+1.0),1022.3,61
2015-01,4.2(+0.9),1019.0,37
2015-02,3.8(-0.6),1017.8,49
2015-03,7.8(+1.0),1021.9,32
2015-04,12.0(+2.2),1021.2,54
2015-05,14.1(+0.6),1017.3,43
2015-06,18.9(+2.2),1019.8,4
2015-07,21.5(+2.6),1016.2,19
2015-07,18.9,1017.9,50
2015-08,21.0(+2.4),1015.1,82
2015-08,18.6,1017.2,47
2015-09,14.6(-1.4),1017.6,69
2015-09,16.0,1018.2,52
2015-10,11.1(-0.8),1018.0,45
2015-11,10.6(+3.8),1020.9,51
2015-12,9.1(+5.0),1026.2,24
2016-01,5.3(+2.0),1014.1,50
2016-02,5.8(+1.4),1013.3,48
2016-03,6.7(-0.1),1015.1,88
2016-04,9.6(-0.2),1013.7,43
2016-05,14.4(+0.9),1014.0,152
2016-06,17.3(+0.6),1015.4,88
2016-07,20.5(+1.6),1018.9,13
2016-08,21.0(+2.4),1019.7,30
2016-09,18.3(+2.3),1018.8,37
2016-10,11.9,1016.9,53
2016-11,6.8,1017.8,58
2016-12,4.1,1017.9,53
2017-01,3.3,1019.6,52
2017-02,4.4,1018.0,45
2017-03,6.8,1016.9,51
2017-04,9.8,1014.8,47
2017-05,13.5,1014.8,58
2017-06,16.7,1016.9,51
2017-07,18.9,1017.9,50
2017-08,18.6,1017.2,47
2017-09,16.0,1018.2,52
2017-10,11.9,1016.9,53
2017-11,6.8,1017.8,58
2017-12,5.3(+1.2),1017.4,100
2018-01,3.3,1019.6,52
2018-02,4.4,1018.0,45
2018-03,6.8,1016.9,51
2018-04,9.8,1014.8,47
2018-05,13.5,1014.8,58
2018-06,16.7,1016.9,51
2018-07,18.9,1017.9,50
2018-08,18.6,1017.2,47
2018-09,16.0,1018.2,52
2018-10,11.9,1016.9,53
2018-11,7.8(+1.0),1014.9,66
2018-11,6.8,1017.8,58
2018-12,4.1,1017.9,53
2019-01,3.3,1019.6,52
2019-02,4.4,1018.0,45
2019-03,6.8,1016.9,51
2019-04,9.8,1014.8,47
2019-05,13.5,1014.8,58
2019-06,16.7,1016.9,51
2019-07,18.9,1017.9,50
2019-08,18.6,1017.2,47
2019-09,16.0,1018.2,52
2019-10,11.9,1016.9,53
2019-11,6.8,1017.8,58
2019-12,4.1,1017.9,53
2020-01,3.3,1019.6,52
2020-02,4.4,1018.0,45
2020-03,6.8,1016.9,51
2020-04,9.8,1014.8,47
2020-05,13.5,1014.8,58
2020-06,16.7,1016.9,51
2020-07,18.9,1017.9,50
2020-08,18.6,1017.2,47
2020-09,16.0,1018.2,52
2020-10,11.9,1016.9,53
2020-11,6.8,1017.8,58
2020-12,4.1,1017.9,53
2021-01,3.3,1019.6,52
2021-02,4.4,1018.0,45
2021-03,6.8,1016.9,51
2021-04,9.8,1014.8,47
2021-05,13.5,1014.8,58
2021-06,16.7,1016.9,51
2021-07,18.9,1017.9,50
2021-08,18.6,1017.2,47
2021-09,18.4(+2.4),1018.6,67
2021-09,16.0,1018.2,52
2021-10,11.9,1016.9,53
2021-11,6.8,1017.8,58
2021-12,4.1,1017.9,53
2022-01,3.3,1019.6,52
2022-02,4.4,1018.0,45
2022-03,6.8,1016.9,51
2022-04,11.6(+1.8),1014.9,54
2022-04,9.8,1014.8,47
2022-05,13.5,1014.8,58
2022-06,16.7,1016.9,51
2022-07,22.6(+2.2),1021.0,11
2022-07,22.6(+2.2),1021.0,11
2022-08,22.7(+2.5),1016.6,59
2022-09,16.5(+0.0),1014.1,53
2022-10,15.4(+2.8),1018.1,85
2022-11,9.4(+1.5),1013.6,46
2022-12,5.1(-0.1),1014.7,48
2023-01,5.9(+1.2),1018.8,45
2023-02,6.3(+1.1),1029.2,2
2023-03,9.2(+0.9),1012.2,53
2023-04,10.4(-0.9),1016.6,73
2023-05,15.2(+0.4),1020.1,61
2023-06,21.6(+3.4),1016.2,34
2023-07,20.8(+0.4),1014.5,69
2023-08,20.1(-0.1),1015.3,66
2023-09,20.6(+4.1),1016.0,30
2023-10,14.7(+2.1),1010.7,90
2023-11,9.0(+1.1),1009.3,86
2023-12,7.5(+2.3),1017.0,67
2024-01,4.4(-0.3),1020.5,61
2024-02,8.9(+3.7),1014.4,66
2024-03,9.7(+1.4),1008.3,78
2024-04,11.8(+0.5),1016.3,42
2024-05,15.0(+0.2),1013.5,89
2024-06,17.7(-0.5),1015.2,46
2024-07,20.5(+0.1),1015.5,67
2024-08,20.8(+0.6),1016.0,66
2024-09,16.0(-0.5),1015.2,116
2024-10,13.7(+1.1),1015.7,98
2024-11,8.2(+0.3),1021.9,39
2024-12,5.9(+0.7),1024.5,46
2025-01,4.2(-0.5),1016.8,107
2025-02,5.2(+0.0),1022.9,44
2025-03,9.1(+0.8),1016.2,20
2025-04,13.6(+2.3),1016.1,29
2025-05,16.1(+1.3),1017.4,24
2025-06,21.6(+3.4),1018.4,25
2025-07,21.2(+0.8),1016.3,83
2025-08,21.1(+0.9),1016.8,21
2025-09,16.2(-0.3),1017.5,42
2025-10,12.8(+0.2),1016.9,52
2025-11,8.7(+0.8),1013.9,47
2025-12,6.8(+1.6),1017.7,30
2026-01,5.2(+0.5),1007.0,42
2026-02,9.0(+3.8),1005.9,100
2026-03,10.0(+1.7),1020.0,43
